,GSM239345,GSM239346,GSM239348,GSM239363,GSM239460,GSM239485,GSM239488,GSM239490,GSM239491,GSM239493,GSM239494,GSM239495,GSM239496,GSM239498,GSM239516,GSM239580,GSM240405,GSM240406,GSM240429,GSM240430,GSM240431,GSM240432,GSM240433,GSM240494,GSM240495,GSM240496,GSM240497,GSM240498,GSM240499
200059_s_at,11.2162489427546,11.8083363124006,11.9744207300106,11.6239392026364,11.8532882623867,11.5059966029314,12.382015235756,11.5494360036485,11.5888902146096,11.8377178881202,11.7913435964898,11.4711506558125,11.8532882623867,11.8902271587025,11.8083363124006,11.8152221131913,11.7408912653053,11.7073586714006,11.5545007840707,11.9503027559034,11.7073586714006,11.9362376216184,11.6589013689539,12.3575062502215,11.8152221131913,11.8234384600466,11.645498495115,11.5494360036485,12.2141652450636
200719_at,8.15800341290376,7.65359740707447,9.08347256914657,9.12856367114971,9.19165643386086,7.85388271476238,9.08021077127122,8.46001009165008,9.25297052203173,8.74338031729666,8.71594283384513,9.32086572392497,8.8233582186103,8.16179479915418,8.11261173137179,7.58092688057576,7.09144887810636,8.30418415706273,7.71091354238244,7.78493597109692,7.89414986935072,7.69553521074498,7.17281504090037,7.80964520690324,7.17229024044453,7.99805542116239,7.68817012825716,7.6404638256859,7.65929207510319
201218_at,10.6933607300229,8.39319020644566,10.3155923223582,7.07068150551699,9.17368490902971,9.26007679814616,5.80774299343569,10.2256168085647,10.1182229342301,9.75601263328141,9.56982963262276,9.95280069773816,10.1992927942918,7.32208649110315,7.93755866347807,8.3261996281064,9.87701121088443,11.4821261465103,10.1862761690067,8.48029843790191,8.65867011228032,8.35277353256879,8.72339159637854,8.07417393825889,9.02766695102285,8.62330661171146,8.24296212862883,8.39657544816349,8.26128099640289
201219_at,8.53468068996085,8.73901032736735,6.2584422470082,6.70300956894228,5.41332368612358,6.94352853189222,5.92114676750885,7.35618006613305,6.27625905858497,7.56808255787762,7.02126508097568,6.82690027982131,6.48584160201649,6.62587681615862,8.10561764605242,7.95626181976674,8.65921573827712,6.57691374545727,4.74868623850848,7.88449992509617,7.488448442132,8.16134604874741,7.47575961890102,8.16844981123385,7.48213032517863,8.03387765040777,8.15496023102746,8.04584433777328,7.52202226760535
201533_at,4.77947014935786,5.40998143410576,5.92290196008753,5.43408175279639,5.20644678160432,6.13701097474108,4.54679782786673,5.41598454884416,4.96476508475432,5.36812822660722,4.92386510862097,4.96869233417552,5.85100369653249,4.45845307783109,4.43320814707584,4.6932519951342,5.74946005571528,4.36274078187999,4.75453587148647,4.46443486493236,4.64995438121069,4.67330348445457,4.63966530223903,4.07375398386045,4.06374151194128,4.81524294766925,4.95741904666614,4.75087823329697,4.23734713127298
201700_at,9.6199625724496,9.68038260430861,10.140579082519,9.69270687889144,9.91780536210124,10.5042254129241,9.5532031125084,10.3213088406416,10.1200028630578,9.97786057517015,10.2922862443539,9.69777890483864,10.3007087642752,9.68395912052917,9.60589042712797,10.1957422676942,10.0893107259947,10.3115302190944,9.67796156125152,9.40435080803803,9.25392171878634,9.28943039014535,9.49281213121758,9.53402881414564,9.63597090172911,9.65966789894166,9.47979847802149,9.64546845251688,9.65721581330397
201868_s_at,6.04612593322556,8.47049310962993,8.42117918115558,9.71726343134152,6.84567265807066,6.94849325451309,6.78190253444288,6.16230216261916,7.72118608981556,6.26008903951493,5.41969001402575,8.53785258992234,7.895804366478,5.47643487185524,7.27292296329776,8.5117734857948,8.30982735981983,7.57626653990507,4.93656427217504,4.70985671500052,5.1441874044142,5.05944444605608,4.54450009202079,4.50216682739369,4.62537237157547,5.06330725862821,4.78419542465906,5.0740007322826,4.5501374930642
201907_x_at,8.38656396610673,8.96482184073824,8.94851401339822,8.64813834004387,9.17607294094197,7.92186777223182,9.19964892032236,7.98508789401908,8.79894137583114,9.18413878832766,8.51800974102422,8.66404472902298,8.56611225735657,8.84691208716373,8.87319262335953,8.59624423597849,8.496017958825,7.9270533872566,8.05455713245609,7.4185561830305,7.79962075573436,8.06460451495913,7.26583624706619,7.58044395042408,7.56118028309724,8.08581184563826,8.02333745086812,7.73544374664903,7.47270595536604
201908_at,6.83143635828156,6.96978597702111,7.17944305638789,6.99167128362962,6.59046093751377,7.86862904081351,6.40375752410962,7.47999373863385,6.88168324055276,7.36117685921117,7.50891309837558,7.58332368503329,7.07712586548556,6.83716977049414,6.82284805140624,7.71123618392647,7.02919159617464,7.27704771854095,7.18546822004107,6.59006384375751,6.79855388389664,6.65345735408503,6.56923404848072,6.24550349122726,6.56974367695396,6.44709534128937,6.32467171418556,6.66839181555203,6.20223266858202
202035_s_at,9.94785413041444,9.43435456360576,9.60332703994016,9.5760184798536,9.83215229871895,9.62096462560496,9.12566153154171,9.89192880492313,9.64546845251688,10.1090275035112,9.94304066599541,9.65283077977146,10.2901190791032,10.191463403591,9.9572146873679,10.4065594221461,10.0079383891043,9.92722678682577,9.83494784862132,9.90543039261476,10.1272942384144,10.242474842513,9.97481154104216,10.0725633004298,10.2143206309092,10.3442366338165,9.62205111678019,9.86741623950349,10.3007087642752
202036_s_at,6.5555095259377,7.0668907357594,7.1980288619519,5.95795106690477,6.55979158770176,6.97335262151787,5.27860721196163,7.39923718147525,6.27117466445073,6.69266437285002,7.63081538834089,6.28758332165332,7.19149948145658,5.54770764035493,6.66169632632265,6.69585354183839,6.39454962661847,6.87297034530425,6.60334343951657,5.77425688273399,5.82646787041817,6.0311090475047,4.93981633095249,5.71798221976398,5.90100047103083,6.15986071839632,6.51094302968212,5.99156118943147,5.95237273068257
202332_at,7.43804798078251,8.08964164929803,6.60390437030845,7.74913661086559,6.75956997530219,5.96030014979226,7.65488803816217,5.77349946752633,7.55774811999754,5.71272663062951,6.39700055426309,6.96639628868526,5.85118268126491,7.7290610046131,8.4281102142297,6.62015716383023,8.26548436859617,8.14146008399662,7.47302746589011,9.12421129870709,9.05238197735301,9.48822013140984,9.05238197735301,9.53193406510185,9.11458331851075,9.41813992491083,9.24502711787832,9.56118717955977,8.90972796128617
202431_s_at,7.85693930221548,7.37783378753187,7.75081875624624,8.23449580856445,7.85728769712666,6.91710384527952,8.07573151003529,7.45073031178781,7.7571461425062,7.97772540351553,8.00339402350701,7.72873530970474,7.81724872044628,7.58646354446656,8.09253423417404,7.60632471148957,7.66124734422622,8.02663515387666,7.80592217074153,7.5595762442342,7.34938812598889,7.51581244531174,7.31455187731884,8.09722414585408,7.78781457066688,7.65718613946313,7.33946625501359,7.40399688043054,7.74118845019598
202526_at,6.06482366079262,6.11699942526947,6.18868628803754,6.52861762895021,6.56686143436412,6.06397721090021,6.5293196920041,6.04902677254039,5.85827290947866,6.47267286354907,6.38034905372702,6.30980613372987,5.84472733625023,6.58366872078952,6.57691374545727,6.12849472344327,5.93473526100386,6.34400738683144,6.18027942854486,6.08987713593518,5.88792274891714,6.18788883342576,5.66186717548147,6.59748488165193,6.24786200090962,6.24153676999354,6.04182118186743,5.99634442732176,6.19178471348514
202527_s_at,7.91513111893747,7.81755652976939,7.06751285399684,7.7160547827432,7.92172461298094,6.55336403931353,8.04151239896809,7.26764607482998,8.09149587393467,7.36658562810334,6.63735680723748,7.3082301277254,7.36658562810334,6.92433143136442,7.63609900669669,6.97215606663858,7.52833867737464,6.56984004967789,7.53720001559954,8.37166308896819,8.43965764348484,8.35632381110338,8.21854788296579,8.72339159637854,8.07164557309793,8.65663175701634,8.71477067896231,8.30337585044193,8.1583449637183
