,GSM215084,GSM215085,GSM215086,GSM215087,GSM215097,GSM215098,GSM215101,GSM215102,GSM215109,GSM215111,GSM215114,GSM215052,GSM215053,GSM215054,GSM215055,GSM215065,GSM215066,GSM215069,GSM215070,GSM215077,GSM215079,GSM215082
1552263_at,6.04539289324834,5.8406745475746,5.76692316547851,6.55459532366435,6.4352042336032,6.16392321695499,6.56592882911087,5.79660914038264,5.49990681481853,5.98732371604208,6.29917301872949,5.9275563585568,5.65931242250134,5.39684477179499,5.99047672037809,6.24041448200381,6.19879612539317,5.90761240599994,5.67540969565077,5.27785222957786,5.86138862695266,6.06251603215157
1552264_a_at,7.93521454818947,8.56926374714197,8.3422990283015,8.2980295690167,8.18649497227878,8.21840425999402,8.45867049166694,7.72250477392276,7.66403995040504,8.09733493946806,7.63640659940677,7.78095971519362,8.2965143434342,8.16085636797685,8.22154641942627,8.09927408740778,8.26200336872852,8.0398856861112,7.89806333794855,7.51090242645774,7.96867396837734,7.40720294895277
1552519_at,6.01286080487587,7.33180112522836,7.82474100687638,6.70825408889768,7.42984019495848,7.01459627784475,5.82954788623952,6.97261889499351,8.22513332354708,7.26062483989627,6.75463682120534,8.29412409307641,8.36792027012187,7.75544549552347,8.13134763249071,7.33681125792304,7.56160115192423,7.66130361176457,8.10741638270583,8.10122987381988,8.00321971255397,7.45451884622205
1553685_s_at,6.577529951039,7.02180671625356,6.82841517268415,6.644631626582,6.50339584375365,6.77851282600705,6.8048386502309,6.68046970420279,6.577529951039,6.93604845439625,5.75145516209857,6.47116356174773,6.76747374850098,7.19488750006813,6.78780150597696,6.71001885412571,6.83313873646767,7.17996384974321,6.99393689510936,6.79775186322158,6.84120206981675,5.72458081769332
1554638_at,4.59452266234852,3.94257622359011,3.97852123490377,4.13277221120593,3.96524658606201,4.35364895855792,3.82595978429318,3.98633348495431,3.75908273097541,4.19868705172904,3.81880469116405,3.94027662784424,3.9541865609043,4.00079012795339,3.73455588455322,4.1853583810247,4.11509349472958,4.21976680718284,3.97332773344047,4.34625950715215,4.35094133569891,3.9126368263509
1555003_at,3.71522329835202,3.46463381174996,3.64451113691514,3.70659867823041,3.57783286488434,3.53142396804433,3.73629642768113,3.59001398342908,4.01974298834075,3.95433720626946,3.57652975933238,3.69635581319394,3.53748725081732,3.44130154395539,3.47686114172797,3.4685363758756,3.65012441218631,3.51159235558324,3.44110913261891,3.65916545747096,3.75409467493515,3.81135159241862
1555004_a_at,3.80885200445876,3.94778052283229,4.40407660340192,4.88554059154677,4.51519048437712,4.74870754959688,4.35450865848344,3.83157216639054,4.0404649803588,4.38028572961667,3.72343371777383,3.81870488876477,3.54400200418836,3.82176237414147,4.10231907222889,3.88675710952717,3.944412113735,4.19091787829538,4.11368305645973,4.26531663072238,3.90169083611479,3.84760508690016
1555011_at,3.31346630140516,3.35294326893542,3.39900414463377,3.58651278224192,3.71041910529206,3.51250749124651,3.24801845101628,3.57132526049526,3.67544134965605,3.49850128114682,3.55457833703443,3.58870221376476,3.40992234272638,3.51271036002565,3.44876430774229,3.50425775396577,3.52295843470602,3.53902188049031,3.59053474367939,3.7271220485451,3.33660075503723,3.53435049350034
1555540_at,3.89219071814467,3.75364321597997,3.83131754440638,3.58612849380821,3.80188805756286,3.77047532598706,4.0026650029314,3.82354926869676,3.97943463215616,3.73342272876937,3.717695626316,3.72614657710787,3.89359005950872,3.91312990149078,3.97852123490377,3.93078739994277,3.65884472408213,3.68609544596149,3.78267619658128,3.72945860573941,3.67323231152868,3.75511486627737
1555814_a_at,11.1915648710894,11.3263036367139,11.2801834452549,11.1715198042063,11.1796213601808,11.3737946007018,11.4837073846937,10.9257111279855,10.9879821083846,11.36724652578,11.0952382250029,10.956434474403,11.1512990888327,11.1311682136589,11.1344289307784,11.024477823585,11.2276493014624,11.2021492256815,11.037346596273,10.9386448805602,11.1015092993972,11.0489621828471
1555982_at,6.13814974905449,5.15992559469446,5.36812415254225,5.48063555905438,5.30890253343537,5.32230654606201,5.11479418332082,5.60580448371866,5.52811837345498,5.57586826471796,5.13241737517038,5.08827223754442,4.23876274197793,4.71253891719563,4.53013120686118,5.08211337043492,5.10982131657129,4.83378051638857,4.66750217635503,4.59847875782856,5.01772627652781,4.55099615874688
1556075_at,3.89364656518762,3.84136366083928,4.02003552446134,3.88167687417187,3.87465120321869,3.99804760567408,3.75021082615136,3.9234770522706,4.08567426625701,3.76105407794555,3.89192383771351,4.01167807258887,4.01391430830228,3.90228073440017,3.66369433914573,3.71390397696211,3.88588363761523,3.79884201219189,3.87365033783871,3.81431897555736,3.90049196102303,3.93858641040469
1559307_s_at,3.91984825517075,4.24000493408288,4.31662181740469,4.59988929099421,4.32053953896353,4.13240199143502,3.85649695192015,3.70510868634927,3.52554096937206,4.19475745279793,3.85258977960515,4.19191058283686,3.84504853176314,3.94342385219579,3.70059379663538,4.01819886478776,4.13836397525857,4.19267112063721,3.89866031437642,3.82297946256132,3.897036822381,3.86919030694596
1559426_at,4.86631303961819,5.08942842797599,5.16414101552284,4.48857424427895,4.7804385541448,4.82830879903534,4.82492365339105,5.09917362999685,4.71478019708985,4.72418384678272,4.75469308365505,4.602129468515,4.81211561133436,4.90017743472296,4.62099004602992,4.69578271401995,4.76265419528205,4.68908459156399,4.61857736443885,4.96244512757784,4.92129031613979,5.03233481666752
1559548_at,4.18062126119836,4.11064150415252,4.2397489972669,4.29798016900049,4.65321751774437,4.3739711706057,3.89143892777909,4.51217278536394,3.81141190033538,4.37872563084087,4.19058452840754,4.14028721671722,4.10448993147689,3.83449805050087,4.28358828130716,4.26360452422386,4.22785878962591,4.26175265877398,4.12060552213729,4.0970629641032,4.01345796622146,3.85889591952015
1561486_at,3.00647157195426,3.10647271435403,2.77751453015395,2.91232077225542,2.89317814149348,3.15235522444524,2.96435295534146,2.83819432079401,2.81214471640486,2.93309294164783,2.9728149405976,2.90542397608683,2.7368869905334,3.0278303022492,3.03249305064542,3.0485854504187,2.96941834297418,3.05273112458751,2.99647121962346,2.92095720856287,3.08246208607244,2.90647780294908
1563182_at,3.96933467018975,4.16034978586332,5.05886426854378,4.25033021305455,4.72445798874727,4.59204010485456,3.80648712559804,4.5126718388199,5.04117351660427,5.11828589118739,4.34642728868039,5.5039563542685,5.34776689180487,4.75576880044489,4.9634309842269,4.93269575557271,5.04177051977842,5.14249039512497,5.51421610439192,6.24656917936543,5.3399936788718,4.61148317593305
