,GSM240430,GSM240431,GSM240432,GSM240433,GSM240494,GSM240495,GSM240496,GSM240497,GSM240498,GSM240499,GSM239345,GSM239346,GSM239348,GSM239363,GSM239460,GSM239485,GSM239488,GSM239490,GSM239491,GSM239493,GSM239494,GSM239495,GSM239496,GSM239498,GSM239516,GSM239580,GSM240405,GSM240406,GSM240429
200796_s_at,9.23157960208666,8.96482184073824,8.60131705368454,8.94040673186297,9.67403735806568,8.60509453242105,7.90582139239067,7.727389113622,5.70134847281574,9.65058208820748,5.85339936525937,8.55159032597609,8.46267558988513,9.25663382163318,8.31695680823312,7.50393275066818,9.15963310274883,8.35861995413915,9.2215817007572,7.93897316230495,7.89010839321683,8.17001591097248,8.78904115219044,8.69033571222224,5.63821765584207,6.78379562434047,6.47086289855211,7.25955828806646,5.08803441813133
200797_s_at,13.1872787852449,13.0624347764753,12.67429038676,12.5808177298415,13.0624347764753,12.710973555821,12.9553775925101,13.0231226851876,12.9349291374607,13.0697616613286,11.8447249035719,11.7254688375699,11.8620918854032,13.5555022769627,11.7137086040207,10.6875818150515,12.9553775925101,11.3677929382536,12.1564107159004,12.4542272151869,11.7254688375699,12.2923819885986,12.5377219499657,12.8979559744547,12.4213260698953,11.4654999707483,11.517786353136,11.7555300894125,11.0317118407652
200798_x_at,10.7650160361902,10.2828331096375,10.5410480653768,10.5310035234986,11.1870969909663,10.2256168085647,10.4287197800341,10.3642842812499,10.0463793333239,10.8026518806074,8.63106812236457,9.8267304750051,10.3442366338165,10.9095832630926,9.86741623950349,8.64124382256583,10.9023564809734,9.5101387604316,10.30266102737,10.4854357745459,9.82092437534798,10.4721147411338,10.5090454064916,10.7231752200569,9.32086572392497,8.94907395576859,8.25448947712191,8.9286844812075,7.32097030571282
200887_s_at,9.18065508558317,10.1648364574276,9.54856928738151,9.54313744613835,9.42705407493202,9.51665776643008,9.76796646084026,10.8911705663522,9.38277296634586,10.7963197993769,8.91681943813397,9.27229215515548,7.85238464895733,8.25168912117853,7.58025925737522,8.70078266449401,7.63327706509212,8.91566947655056,8.39793657058993,8.19653051274163,8.17053861033365,8.76435432523501,8.09932120273973,8.75756030601013,9.64931520120626,8.07355022274619,10.3664743694896,8.24384245180528,8.61597055278326
200951_s_at,5.32720391596213,5.26590915464216,5.61247883941227,5.7845814218802,5.37081726451322,5.47768390175615,5.3058000862873,5.31806488057473,5.3165147144103,5.57026761092018,5.81662058750051,5.8050009557117,7.60297825417188,5.23536804106758,6.00078765592644,6.58366872078952,5.43212733946437,6.6502516782018,6.16713681562734,5.69856363703362,5.94178712161851,5.8180330485042,7.51235164962083,5.60460527157905,5.58029573016839,5.76300516914305,6.21656592315403,8.22564536053058,5.73154245955989
200952_s_at,5.78132668092536,5.83385692063394,6.08734412950476,5.567289598086,6.24566467265581,5.83281765472749,5.83670601378369,5.53684740599247,5.70191669551289,5.81212123941094,6.98192624485433,6.2142814665396,6.56126900769533,5.63821765584207,6.22972462571548,5.91864844923493,5.71603935471584,7.42349233565307,5.86363224532292,6.97797233522671,6.53315807372117,6.29723093988107,6.66300607959193,6.20021296873492,6.38626034518955,5.72908717336966,5.87846539772833,8.51666964671605,5.77495158521767
200953_s_at,8.48029843790191,8.65867011228032,8.35277353256879,8.72339159637854,8.07417393825889,9.02766695102285,8.62330661171146,8.24296212862883,8.39657544816349,8.26128099640289,10.6933607300229,8.39319020644566,10.3155923223582,7.07068150551699,9.17368490902971,9.26007679814616,5.80774299343569,10.2256168085647,10.1182229342301,9.75601263328141,9.56982963262276,9.95280069773816,10.1992927942918,7.32208649110315,7.93755866347807,8.3261996281064,9.87701121088443,11.4821261465103,10.1862761690067
201244_s_at,10.3837472138692,10.2765999754092,10.1845470279269,10.2180296689689,10.4437137723658,10.227624095526,10.1347538932138,9.81816680071152,10.3259324273848,10.1463584934437,8.48685063083556,8.34220618494354,8.06603039781799,9.36491088358546,8.46690316273949,7.4735735781024,9.0243031937847,8.25090738103289,8.46181071435284,8.12779836861899,8.24573982647664,8.48181360985899,8.13571384085498,8.43792475336168,8.65602333563628,8.33294052870481,8.36773351763165,8.67656267990995,9.03910142025043
201331_s_at,10.7175662620214,10.3236152886196,10.1862761690067,10.1182229342301,10.8219252977138,10.5358237407519,10.4065594221461,10.1072142957474,10.5684685330141,10.3664743694896,9.67796156125152,9.79705537654585,9.24417644125434,9.41727340469808,8.91454391701304,9.66711541192623,9.36858692404585,9.25143239469897,8.81379306758109,9.87701121088443,9.85728606919365,9.48054619208695,9.22232633727647,10.1895575716454,10.2348402173075,10.0707765108624,9.60332703994016,9.46382111593872,9.61300624536431
201332_s_at,8.05589851574504,7.94894264914752,7.49549054641519,8.07234091493356,8.55552619744533,8.23884546647358,7.43931687986512,6.95708659173472,7.02446311873362,8.09932120273973,6.70770693525458,7.51449507276247,6.88659990045295,7.21524889923994,6.76053306659444,7.37104835917859,6.59270379987739,7.02574879803932,6.70654886706172,7.15157999620419,7.70331875981301,7.33834633696131,6.89730098353817,7.74913661086559,7.49826605159708,7.26539841884349,6.91828498223589,7.2988927771083,7.09827165746555
