"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"size:10,probes:2,rho:0.1",0.048,0.028,0.052,0.047,0.012,0.025,0.016,0.033,0.01
"size:20,probes:2,rho:0.1",0.029,0.043,0.072,0.053,0.024,0.035,0.028,0.043,0.022
"size:30,probes:2,rho:0.1",0.045,0.049,0.078,0.053,0.023,0.04,0.027,0.046,0.022
"size:40,probes:2,rho:0.1",0.045,0.048,0.064,0.05,0.023,0.043,0.025,0.047,0.022
"size:50,probes:2,rho:0.1",0.058,0.055,0.067,0.056,0.03,0.047,0.033,0.054,0.028
"size:100,probes:2,rho:0.1",0.065,0.04,0.057,0.039,0.012,0.032,0.016,0.036,0.012
"size:10,probes:4,rho:0.1",0.021,0.031,0.064,0.054,0.011,0.029,0.016,0.034,0.011
"size:20,probes:4,rho:0.1",0.017,0.047,0.066,0.055,0.013,0.029,0.02,0.038,0.012
"size:30,probes:4,rho:0.1",0.044,0.037,0.074,0.05,0.004,0.025,0.012,0.033,0.004
"size:40,probes:4,rho:0.1",0.06,0.041,0.073,0.042,0.009,0.024,0.013,0.034,0.006
"size:50,probes:4,rho:0.1",0.064,0.033,0.072,0.034,0.009,0.025,0.01,0.03,0.007
"size:100,probes:4,rho:0.1",0.083,0.05,0.064,0.044,0.012,0.029,0.013,0.036,0.009
"size:10,probes:2,rho:0.9",0.048,0.028,0.058,0.047,0.017,0.025,0.02,0.032,0.015
"size:20,probes:2,rho:0.9",0.029,0.043,0.066,0.053,0.016,0.035,0.022,0.045,0.014
"size:30,probes:2,rho:0.9",0.045,0.049,0.066,0.053,0.019,0.04,0.023,0.046,0.018
"size:40,probes:2,rho:0.9",0.045,0.048,0.062,0.05,0.015,0.043,0.016,0.046,0.014
"size:50,probes:2,rho:0.9",0.058,0.055,0.055,0.056,0.014,0.047,0.019,0.052,0.014
"size:100,probes:2,rho:0.9",0.065,0.04,0.065,0.039,0.014,0.032,0.015,0.035,0.013
"size:10,probes:4,rho:0.9",0.021,0.031,0.064,0.054,0.005,0.029,0.01,0.034,0.005
"size:20,probes:4,rho:0.9",0.017,0.047,0.062,0.055,0.009,0.029,0.015,0.037,0.008
"size:30,probes:4,rho:0.9",0.044,0.037,0.062,0.05,0.007,0.025,0.01,0.032,0.005
"size:40,probes:4,rho:0.9",0.06,0.041,0.06,0.042,0.008,0.024,0.009,0.029,0.006
"size:50,probes:4,rho:0.9",0.064,0.033,0.056,0.034,0.006,0.025,0.007,0.026,0.006
"size:100,probes:4,rho:0.9",0.083,0.05,0.072,0.044,0.009,0.029,0.009,0.033,0.007
