"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"LeukemiaA_Jak_STAT_NC",0.128,0.094,0.37,0.162,0.074,0.09,0.124,0.148,0.07
"LeukemiaA_mTOR_NC",0.086,0.116,0.344,0.168,0.086,0.11,0.11,0.142,0.082
"LeukemiaA_PI3K_Akt_NC",0.14,0.114,0.412,0.206,0.086,0.112,0.148,0.178,0.084
"LeukemiaA_Wnt_NC",0.116,0.078,0.292,0.156,0.042,0.074,0.078,0.114,0.04
"LeukemiaA_Jak_STAT_unique_NC",0.152,0.092,0.31,0.158,0.064,0.088,0.11,0.134,0.064
"LeukemiaA_mTOR_unique_NC",0.136,0.114,0.402,0.178,0.088,0.112,0.12,0.144,0.088
"LeukemiaA_PI3K_Akt_unique_NC",0.18,0.118,0.434,0.21,0.098,0.116,0.158,0.18,0.096
"LeukemiaA_Wnt_unique_NC",0.152,0.134,0.298,0.206,0.08,0.13,0.118,0.172,0.078
