"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"LeukemiaA_Jak_STAT_CN",0.3,0.14,0.462,0.242,0.124,0.126,0.21,0.228,0.116
"LeukemiaA_mTOR_CN",0.246,0.122,0.346,0.176,0.076,0.112,0.126,0.166,0.074
"LeukemiaA_PI3K_Akt_CN",0.35,0.222,0.516,0.324,0.194,0.21,0.29,0.31,0.192
"LeukemiaA_Wnt_CN",0.326,0.214,0.504,0.306,0.188,0.202,0.268,0.29,0.184
"LeukemiaA_Jak_STAT_unique_CN",0.37,0.226,0.548,0.308,0.194,0.218,0.266,0.298,0.19
"LeukemiaA_mTOR_unique_CN",0.29,0.168,0.434,0.228,0.126,0.148,0.182,0.224,0.116
"LeukemiaA_PI3K_Akt_unique_CN",0.34,0.244,0.5,0.316,0.212,0.226,0.286,0.312,0.206
"LeukemiaA_Wnt_unique_CN",0.416,0.288,0.564,0.364,0.272,0.274,0.338,0.356,0.264
