"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"size:10,probes:8,rho:0.1",0.005,0.074,0.051,0.057,0.009,0.048,0.005,0.052,0.005
"size:30,probes:8,rho:0.1",0.066,0.054,0.074,0.048,0.006,0.019,0.005,0.028,0.001
"size:10,probes:9,rho:0.1",1,1,0.043,0.055,0.043,0.055,0.004,0.094,0.004
"size:30,probes:9,rho:0.1",0.094,0.073,0.087,0.047,0.009,0.017,0.011,0.027,0.005
"size:10,probes:8,rho:0.9",0.005,0.074,0.048,0.057,0.003,0.048,0.003,0.05,0.002
"size:30,probes:8,rho:0.9",0.066,0.054,0.067,0.048,0.003,0.019,0.005,0.021,0.003
"size:10,probes:9,rho:0.9",1,1,0.056,0.131,0.056,0.131,0.004,0.183,0.004
"size:30,probes:9,rho:0.9",0.094,0.073,0.061,0.047,0.007,0.017,0.007,0.023,0.004
