"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"LeukemiaA_Jak_STAT_CN",0.338,0.208,0.508,0.284,0.188,0.194,0.266,0.28,0.184
"LeukemiaA_mTOR_CN",0.278,0.14,0.388,0.206,0.1,0.132,0.158,0.194,0.098
"LeukemiaA_PI3K_Akt_CN",0.384,0.276,0.566,0.37,0.25,0.268,0.34,0.358,0.25
"LeukemiaA_Wnt_CN",0.366,0.236,0.5,0.34,0.208,0.228,0.288,0.316,0.204
"LeukemiaA_Jak_STAT_unique_CN",0.424,0.26,0.62,0.384,0.228,0.248,0.346,0.378,0.222
"LeukemiaA_mTOR_unique_CN",0.304,0.188,0.446,0.272,0.146,0.172,0.222,0.268,0.136
"LeukemiaA_PI3K_Akt_unique_CN",0.416,0.29,0.55,0.348,0.26,0.272,0.318,0.35,0.25
"LeukemiaA_Wnt_unique_CN",0.446,0.322,0.594,0.4,0.308,0.312,0.37,0.386,0.302
