"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"size:50,probes:25,rho:0.1",0.901,0.04,0.108,0.056,0.003,0.003,0.013,0.019,0
"size:100,probes:25,rho:0.1",0.447,0.028,0.098,0.047,0.002,0.004,0.009,0.015,0
"size:50,probes:49,rho:0.1",1,0.004,0.143,0.043,0,0.003,0.007,0.01,0
"size:100,probes:49,rho:0.1",0.998,0,0.123,0.044,0,0,0.011,0.011,0
"size:50,probes:25,rho:0.9",0.901,0.04,0.073,0.056,0.004,0.003,0.005,0.01,0.001
"size:100,probes:25,rho:0.9",0.447,0.028,0.072,0.047,0.001,0.004,0.004,0.009,0
"size:50,probes:49,rho:0.9",1,0.037,0.091,0.111,0.003,0.02,0.008,0.027,0.002
"size:100,probes:49,rho:0.9",0.998,0,0.066,0.044,0,0,0.004,0.004,0
