"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"LeukemiaA_Jak_STAT_NC",0.122,0.086,0.354,0.158,0.066,0.086,0.11,0.13,0.066
"LeukemiaA_mTOR_NC",0.088,0.106,0.32,0.17,0.078,0.106,0.108,0.136,0.078
"LeukemiaA_PI3K_Akt_NC",0.136,0.104,0.382,0.2,0.08,0.102,0.144,0.17,0.078
"LeukemiaA_Wnt_NC",0.116,0.084,0.288,0.16,0.046,0.08,0.082,0.12,0.044
"LeukemiaA_Jak_STAT_unique_NC",0.132,0.082,0.286,0.152,0.054,0.078,0.094,0.118,0.054
"LeukemiaA_mTOR_unique_NC",0.128,0.114,0.396,0.182,0.076,0.11,0.118,0.152,0.076
"LeukemiaA_PI3K_Akt_unique_NC",0.17,0.114,0.414,0.198,0.092,0.11,0.144,0.166,0.09
"LeukemiaA_Wnt_unique_NC",0.152,0.146,0.312,0.208,0.084,0.14,0.114,0.174,0.082
