"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"BreastA_PI3K_Akt_CN",0.082,0.044,0.128,0.068,0.026,0.034,0.036,0.052,0.022
"BreastA_Wnt_CN",0.102,0.088,0.204,0.11,0.046,0.074,0.072,0.104,0.044
"BreastA_PI3K_Akt_unique_CN",0.12,0.094,0.19,0.118,0.044,0.086,0.062,0.104,0.044
"BreastA_Wnt_unique_CN",0.068,0.066,0.092,0.086,0.024,0.052,0.036,0.072,0.02
"BreastA_PI3K_Akt_NC",0.164,0.088,0.232,0.14,0.054,0.078,0.1,0.128,0.052
"BreastA_Wnt_NC",0.164,0.092,0.286,0.15,0.068,0.086,0.116,0.138,0.066
"BreastA_PI3K_Akt_unique_NC",0.14,0.058,0.184,0.118,0.036,0.05,0.068,0.086,0.034
"BreastA_Wnt_unique_NC",0.18,0.08,0.24,0.136,0.046,0.072,0.092,0.118,0.046
