"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"LeukemiaA_Jak_STAT_CN",0.288,0.238,0.356,0.264,0.214,0.234,0.236,0.26,0.212
"LeukemiaA_mTOR_CN",0.262,0.156,0.272,0.174,0.136,0.15,0.15,0.176,0.13
"LeukemiaA_PI3K_Akt_CN",0.328,0.258,0.376,0.28,0.23,0.244,0.25,0.28,0.222
"LeukemiaA_Wnt_CN",0.316,0.258,0.366,0.278,0.214,0.248,0.236,0.274,0.212
"LeukemiaA_Jak_STAT_unique_CN",0.352,0.266,0.45,0.316,0.242,0.254,0.292,0.308,0.24
"LeukemiaA_mTOR_unique_CN",0.262,0.192,0.284,0.208,0.158,0.18,0.174,0.208,0.152
"LeukemiaA_PI3K_Akt_unique_CN",0.322,0.282,0.364,0.32,0.236,0.272,0.268,0.308,0.234
"LeukemiaA_Wnt_unique_CN",0.38,0.292,0.39,0.318,0.26,0.288,0.274,0.306,0.258
