"","countM","countH","countR","countN","countHR","countHN","countRN","count2","countHRN"
"OvarianA_mTOR_mean_unique_CN",0.362,0.306,0.624,0.38,0.26,0.282,0.324,0.37,0.248
"OvarianA_Jak_STAT_mean_unique_CN",0.46,0.388,0.692,0.464,0.362,0.37,0.446,0.466,0.356
"OvarianA_p53_mean_unique_CN",0.558,0.474,0.742,0.584,0.448,0.45,0.546,0.584,0.43
"OvarianA_PI3K_Akt_mean_unique_CN",0.448,0.384,0.696,0.486,0.364,0.368,0.46,0.48,0.356
