Probe Set ID,Gene Symbol G,Entrez Gene,IDENTIFIER
207096_at,SAA2-SAA4 /// SAA4,6291 /// 100528017,SAA2-SAA4
207097_s_at,SLC17A2,10246,SLC17A2
207098_s_at,MFN1,55669,MFN1
207099_s_at,CHM,1121,CHM
207100_s_at,VAMP1,6843,VAMP1
207101_at,VAMP1,6843,VAMP1
207102_at,AKR1D1,6718,AKR1D1
207103_at,KCND2,3751,KCND2
207104_x_at,LILRB1,10859,LILRB1
207105_s_at,PIK3R2,5296,PIK3R2
207106_s_at,LTK,4058,LTK
207107_at,RPE65,6121,RPE65
207108_s_at,NIPBL,25836,NIPBL
207109_at,POU2F3,25833,POU2F3
207110_at,KCNJ12 /// LOC100996843,3768 /// 100996843,LOC100996843
207111_at,EMR1,2015,ADGRE1
207112_s_at,GAB1,2549,GAB1
207113_s_at,TNF,7124,TNF
207114_at,LY6G6C,80740,LY6G6C
207115_x_at,MBTD1,54799,MBTD1
207116_s_at,GAPDHS,26330,GAPDHS
207117_at,ZNF117,51351,ZNF117
207118_s_at,MMP23A /// MMP23B,8510 /// 8511,MMP23A
207119_at,PRKG1,5592,PRKG1
207120_at,ZNF667,63934,ZNF667
207121_s_at,MAPK6,5597,MAPK6
207122_x_at,SULT1A2,6799,SULT1A2
207123_s_at,MATN4,8785,MATN4
207124_s_at,GNB5,10681,GNB5
207125_at,ZNF225,7768,ZNF225
207126_x_at,UGT1A1 /// UGT1A10 /// UGT1A4 /// UGT1A6 /// UGT1A8 /// UGT1A9,54575 /// 54576 /// 54578 /// 54600 /// 54657 /// 54658,UGT1A1
207127_s_at,HNRNPH3,3189,HNRNPH3
207128_s_at,ZNF223,7766,ZNF223
207129_at,CA5B,11238,CA5B
207130_at,ZMYND8,23613,ZMYND8
207131_x_at,GGT1 /// GGT2 /// GGTLC2,2678 /// 91227 /// 728441,GGT2
207132_x_at,PFDN5,5204,PFDN5
207133_x_at,ALPK1,80216,ALPK1
207134_x_at,TPSB2,64499,TPSB2
207135_at,HTR2A,3356,HTR2A
207136_at,ARR3,407,ARR3
207137_at,TONSL,4796,TONSL
207138_at,PHF2,5253,PHF2
207139_at,ATP4A,495,ATP4A
207140_at,ALPI,248,ALPI
207141_s_at,KCNJ3,3760,KCNJ3
207142_at,KCNJ3,3760,KCNJ3
207143_at,CDK6,1021,CDK6
207144_s_at,CITED1,4435,CITED1
207145_at,MSTN,2660,MSTN
207146_at,KRT32,3882,KRT32
207147_at,DLX2,1746,DLX2
207148_x_at,MYOZ2,51778,MYOZ2
207149_at,CDH12,1010,CDH12
207150_at,SLC18A3,6572,SLC18A3
207151_at,ADCYAP1R1,117,ADCYAP1R1
207152_at,NTRK2,4915,NTRK2
207153_s_at,GLMN,11146,GLMN
207154_at,DIO3,1735,DIO3
207155_at,TBX5,6910,TBX5
207156_at,HIST1H2AG /// HIST1H2AH /// HIST1H2AI /// HIST1H2AK /// HIST1H2AL /// HIST1H2AM,8329 /// 8330 /// 8332 /// 8336 /// 8969 /// 85235,HIST1H2AH
207157_s_at,GNG5,2787,GNG5
207158_at,APOBEC1,339,APOBEC1
207159_x_at,CRTC1,23373,CRTC1
207160_at,IL12A,3592,IL12A
207161_at,KIAA0087,9808,KIAA0087
207162_s_at,CACNA1B /// LOC101060829,774 /// 101060829,CACNA1B
207163_s_at,AKT1,207,AKT1
207164_s_at,ZBTB18,10472,ZBTB18
207165_at,HMMR,3161,HMMR
207166_at,GNGT1,2792,GNGT1
207167_at,CD101,9398,CD101
207168_s_at,H2AFY,9555,H2AFY
207169_x_at,DDR1 /// MIR4640,780 /// 100616237,MIR4640
207170_s_at,LETMD1,25875,LETMD1
207172_s_at,CDH11,1009,CDH11
207173_x_at,CDH11,1009,CDH11
207174_at,GPC5,2262,GPC5
207175_at,ADIPOQ,9370,ADIPOQ
207176_s_at,CD80,941,CD80
207177_at,PTGFR,5737,PTGFR
207178_s_at,FRK,2444,FRK
207179_at,TLX1,3195,TLX1
207180_s_at,HTATIP2,10553,HTATIP2
207181_s_at,CASP7,840,CASP7
207182_at,GABRA6,2559,GABRA6
207183_at,GPR19,2842,GPR19
207184_at,SLC6A13,6540,SLC6A13
207185_at,SLC10A1,6554,SLC10A1
207186_s_at,BPTF,2186,BPTF
207187_at,JAK3,3718,JAK3
207188_at,CDK3 /// TEN1-CDK3,1018 /// 100529145,TEN1-CDK3
207189_s_at,ZZEF1,23140,ZZEF1
207190_at,ZZEF1,23140,ZZEF1
207191_s_at,ISLR,3671,ISLR
207192_at,DNASE1L2,1775,DNASE1L2
207193_at,AGRP,181,AGRP
207194_s_at,ICAM4,3386,ICAM4
207195_at,CNTN6,27255,CNTN6
207196_s_at,TNIP1,10318,TNIP1
207197_at,ZIC3,7547,ZIC3
207198_s_at,LIMS1,3987,LIMS4
207199_at,TERT,7015,TERT
207200_at,OTC,5009,OTC
207201_s_at,SLC22A1,6580,SLC22A1
207202_s_at,NR1I2,8856,NR1I2
207203_s_at,NR1I2,8856,NR1I2
207204_at,FSCN2,25794,FSCN2
207205_at,CEACAM4,1089,CEACAM4
207206_s_at,ALOX12,239,ALOX12
207207_at,RBMXL2,27288,RBMXL2
207208_at,RBMXL2,27288,RBMXL2
207209_at,CETN1,1068,CETN1
207210_at,GABRA3,2556,GABRA3
207211_at,USP2,9099,USP2
207212_at,SLC9A3,6550,SLC9A3
207213_s_at,USP2,9099,USP2
207214_at,SPINK4,27290,SPINK4
207215_at,GSTTP1,25774,GSTTP1
207216_at,TNFSF8,944,TNFSF8
207217_s_at,NOX1,27035,NOX1
207218_at,F9,2158,F9
207219_at,ZFP69B,65243,ZFP69B
207220_at,ART4,420,ART4
207221_at,F2RL3,9002,F2RL3
207222_at,LOC100652777 /// PLA2G10,8399 /// 100652777,LOC100652777
207223_s_at,PTBP3,9991,PTBP3
207224_s_at,SIGLEC7,27036,SIGLEC7
207225_at,AANAT,15,AANAT
207226_at,HIST1H2BN,8341,HIST1H2BN
207227_x_at,RFPL2,10739,RFPL2
207228_at,PRKACG,5568,PRKACG
207229_at,KLRAP1,10748,KLRA1P
207230_at,CDON,50937,CDON
207231_at,DZIP3,9666,DZIP3
207232_s_at,DZIP3,9666,DZIP3
207233_s_at,MITF,4286,MITF
207234_at,RFX3,5991,RFX3
207235_s_at,GRM5,2915,GRM5
207236_at,ZNF345,25850,ZNF345
207237_at,KCNA3,3738,KCNA3
207238_s_at,PTPRC,5788,PTPRC
207239_s_at,CDK16,5127,CDK16
207240_s_at,LHCGR,3973,LHCGR
207241_at,C4orf6,10141,LINC01587
207242_s_at,GRIK1,2897,GRIK1
207243_s_at,CALM1 /// CALM2 /// CALM3,801 /// 805 /// 808,CALM3
207244_x_at,CYP2A6,1548,CYP2A6
207245_at,UGT2B17,7367,UGT2B17
207246_at,ZFY,7544,ZFY
207247_s_at,ZFX /// ZFY,7543 /// 7544,ZFY
207248_at,KCNA4,3739,KCNA4
207249_s_at,SLC28A2,9153,SLC28A2
207250_at,SIX6,4990,SIX6
207251_at,MEP1B,4225,MEP1B
207252_at,INE1,8552,INE1
207253_s_at,UBN1,29855,UBN1
207254_at,SLC15A1,6564,SLC15A1
207255_at,LEPR,3953,LEPROT
207256_at,MBL2,4153,MBL2
207257_at,EPO,2056,EPO
207258_at,DSCR4,10281,DSCR4
207259_at,LINC00483,55018,LINC00483
207260_at,FEV,54738,FEV
207261_at,CNGA3,1261,CNGA3
207262_at,APOF,319,APOF
207263_x_at,VEZT,55591,VEZT
207264_at,KDELR3,11015,KDELR3
207265_s_at,KDELR3,11015,KDELR3
207266_x_at,RBMS1,5937,RBMS1
207267_s_at,RIPPLY3,53820,RIPPLY3
207268_x_at,ABI2,10152,ABI2
207269_at,DEFA4,1669,DEFA4
207270_x_at,CD300C,10871,CD300C
207271_x_at,SPAG11B,10407,SPAG11A
207272_at,ZNF80,7634,ZNF80
207273_at,---,---,207273_at
207274_at,CHRNE,1145,CHRNE
207275_s_at,ACSL1,2180,ACSL1
207276_at,CDR1,1038,CDR1
207277_at,CD209,30835,CD209
207278_s_at,CD209,30835,CD209
207279_s_at,NEBL,10529,NEBL
207280_at,RNF185-AS1,100852405,RNF185-AS1
207281_x_at,VCX2,51480,VCX2
207282_s_at,MYOG,4656,MYOG
207283_at,RPL23AP32,56969,RPL23AP32
207284_s_at,ASPH,444,ASPH
207285_x_at,CSHL1,1444,CSHL1
207286_at,CEP135,9662,CEP135
207287_at,BIN3-IT1,80094,BIN3-IT1
207288_at,ASMTL-AS1,80161,ASMTL-AS1
207289_at,MMP25,64386,MMP25
207290_at,PLXNA2,5362,PLXNA2
207291_at,PRRG4,79056,PRRG4
207292_s_at,MAPK7,5598,MAPK7
207293_s_at,AGTR2,186,AGTR2
207294_at,AGTR2,186,AGTR2
207295_at,SCNN1G,6340,SCNN1G
207296_at,ZNF343,79175,ZNF343
207298_at,SLC17A3,10786,SLC17A3
207299_s_at,GRM1,2911,GRM1
207300_s_at,F7,2155,F7
207301_at,EFNA5,1946,EFNA5
207302_at,SGCG,6445,SGCG
207303_at,PDE1C,5137,PDE1C
207304_at,ZNF45,7596,ZNF45
207305_s_at,TRAPPC8,22878,TRAPPC8
207306_at,TCF15,6939,TCF15
207307_at,HTR2C,3358,HTR2C
207308_at,SLCO1A2,6579,SLCO1A2
207309_at,NOS1,4842,NOS1
207310_s_at,NOS1,4842,NOS1
207311_at,DOC2B,8447,DOC2B
207312_at,PHKG1,5260,PHKG1
207313_x_at,KIR3DL1 /// KIR3DL2 /// LOC727787,3811 /// 3812 /// 727787,KIR3DL2
207314_x_at,KIR3DL2 /// LOC727787,3812 /// 727787,KIR3DL2
207315_at,CD226,10666,CD226
207316_at,HAS1,3036,HAS1
207317_s_at,CASQ2,845,CASQ2
207318_s_at,CDK13,8621,CDK13
207319_s_at,CDK13,8621,CDK13
207320_x_at,STAU1,6780,STAU1
207321_s_at,ABCB9,23457,ABCB9
207322_at,ITSN1,6453,ITSN1
207323_s_at,MBP,4155,MBP
207324_s_at,DSC1,1823,DSC1
207325_x_at,MAGEA1,4100,MAGEA1
207326_at,BTC,685,BTC
207327_at,EYA4,2070,EYA4
207328_at,ALOX15,246,ALOX15
207329_at,MMP8,4317,MMP8
207330_at,PZP,5858,PZP
207331_at,CENPF,1063,CENPF
207332_s_at,TFRC,7037,TFRC
207333_at,NMBR,4829,NMBR
207334_s_at,TGFBR2,7048,TGFBR2
207335_x_at,ATP5I,521,ATP5I
207336_at,SOX5,6660,SOX5
207337_at,CTAG2,30848,CTAG2
207338_s_at,ZNF200,7752,ZNF200
207339_s_at,LTB,4050,LTB
207341_at,PRTN3,5657,PRTN3
207342_at,CNGB1,1258,CNGB1
207343_at,LYZL6,57151,LYZL6
207344_at,AKAP3,10566,AKAP3
207345_at,FST,10468,FST
207346_at,STX2,2054,STX2
207347_at,ERCC6,2074,ERCC6
207348_s_at,LIG3,3980,LIG3
207349_s_at,UCP3,7352,UCP3
207350_s_at,VAMP4,8674,VAMP4
207351_s_at,SH2D2A,9047,SH2D2A
207352_s_at,GABRB2,2561,GABRB2
207353_s_at,HMX1,3166,HMX1
207354_at,CCL16,6360,CCL16
207355_at,SLC1A7,6512,SLC1A7
207356_at,DEFB4A /// DEFB4B,1673 /// 100289462,DEFB4B
207357_s_at,GALNT10,55568,GALNT10
207358_x_at,MACF1,23499,MACF1
207359_at,CAMKK2,10645,CAMKK2
207360_s_at,NTSR1,4923,NTSR1
207361_at,HBP1,26959,HBP1
207362_at,SLC30A4,7782,SLC30A4
207363_at,RS1,6247,RS1
207364_at,LOC101060234 /// LOC101060305 /// TEX28,1527 /// 101060234 /// 101060305,TEX28
207365_x_at,USP34,9736,USP34
207366_at,KCNS1,3787,KCNS1
207367_at,ATP12A,479,ATP12A
207368_at,HTR1D,3352,HTR1D
207369_at,BRS3,680,BRS3
207370_at,IBSP,3381,IBSP
207371_at,---,---,207371_at
207372_s_at,ENTPD2,954,ENTPD2
207373_at,HOXD10,3236,HOXD10
207374_at,PLSCR2,57047,PLSCR2
207375_s_at,IL15RA,3601,IL15RA
207376_at,VENTX,27287,VENTX
207377_at,PPP1R2P9,80316,PPP1R2P9
207378_at,TREH,11181,TREH
207379_at,EDIL3,10085,EDIL3
207380_x_at,NOX1,27035,NOX1
207381_at,ALOX12B,242,ALOX12B
207382_at,TP63,8626,TP63
207383_s_at,RHBDL1,9028,RHBDL1
207384_at,PGLYRP1,8993,PGLYRP1
207385_at,TFDP3,51270,TFDP3
207386_at,CYP7B1,9420,CYP7B1
207387_s_at,GK,2710,GK
207388_s_at,PTGES,9536,PTGES
207389_at,GP1BA,2811,GP1BA
207390_s_at,SMTN,6525,SMTN
207391_s_at,PIP5K1A,8394,PIP5K1A
207392_x_at,UGT2B15,7366,UGT2B15
207393_at,HCRTR2,3062,HCRTR2
207394_at,ZNF137P,7696,ZNF137P
207395_at,BTN1A1,696,BTN1A1
207396_s_at,ALG3,10195,ALG3
207397_s_at,HOXD13,3239,HOXD13
207398_at,HOXD13,3239,HOXD13
207399_at,BFSP2,8419,BFSP2
207400_at,NPY5R,4889,NPY5R
207401_at,PROX1,5629,PROX1
207402_at,ZNF132,7691,ZNF132
207403_at,IRS4,8471,IRS4
207404_s_at,HTR1E,3354,HTR1E
207405_s_at,RAD17,5884,RAD17
207406_at,CYP7A1,1581,CYP7A1
207407_x_at,CYP4A11,1579,CYP4A11
207408_at,SLC22A14,9389,SLC22A14
207409_at,LECT2,3950,LECT2
207410_s_at,TLX2,3196,TLX2
207412_x_at,CELP,1057,CELP
207413_s_at,SCN5A,6331,SCN5A
207414_s_at,LOC100507472 /// PCSK6,5046 /// 100507472,LOC100507472
207415_at,PLA2R1,22925,PLA2R1
207416_s_at,NFATC3,4775,NFATC3
207417_s_at,ZNF177 /// ZNF559-ZNF177,7730 /// 100529215,ZNF559-ZNF177
207418_s_at,DDO,8528,DDO
207419_s_at,RAC2,5880,RAC2
207420_at,COLEC10,10584,COLEC10
207421_at,CA5A,763,CA5A
207422_at,ADAM20,8748,ADAM20
207423_s_at,ADAM20,8748,ADAM20
207424_at,MYF5,4617,MYF5
207425_s_at,/SEPT9,10801,9-Sep
207426_s_at,TNFSF4,7292,TNFSF4
207427_at,ACR,49,ACR
207428_x_at,CDK11A /// CDK11B,984 /// 728642,CDK11A
207429_at,SLC22A2,6582,SLC22A2
207430_s_at,MSMB,4477,MSMB
207431_s_at,DEGS1,8560,DEGS1
207432_at,BEST2,54831,BEST2
207433_at,IL10,3586,IL10
207434_s_at,FXYD2 /// FXYD6-FXYD2,486 /// 100533181,FXYD6-FXYD2
207435_s_at,SRRM2,23524,SRRM2
207436_x_at,---,---,SORBS1
207437_at,NOVA1,4857,NOVA1
207438_s_at,SNUPN,10073,SNUPN
207439_s_at,SLC35A2,7355,SLC35A2
207440_at,SLC35A2,7355,SLC35A2
207441_at,SMR3B,10879,SMR3B
207442_at,CSF3,1440,CSF3
207443_at,NR2E1,7101,NR2E1
207444_at,SLC22A13,9390,SLC22A13
207445_s_at,CCR9,10803,CCR9
207446_at,TLR6,10333,TLR6
207447_s_at,MGAT4C,25834,MGAT4C
207448_at,POFUT2,23275,POFUT2
207449_s_at,POFUT2,23275,POFUT2
207450_s_at,POU6F2,11281,POU6F2
207451_at,NKX2-8,26257,NKX2-8
207452_s_at,CNTN5,53942,CNTN5
207453_s_at,DNAJB5,25822,DNAJB5
207454_at,GRIK3,2899,GRIK3
207455_at,P2RY1,5028,P2RY1
207456_at,HNF4G,3174,HNF4G
207457_s_at,LY6G6D,58530,LY6G6F
207458_at,RHPN1-AS1,78998,RHPN1-AS1
207459_x_at,GYPB,2994,GYPB
207460_at,GZMM,3004,GZMM
207461_at,---,---,207461_at
207462_at,GLRA2,2742,GLRA2
207463_x_at,PRSS2 /// PRSS3,5645 /// 5646,PRSS3
207464_at,AHCYL1,10768,AHCYL1
207465_at,LOC100127886,100127886,LOC100127886
207466_at,GAL,51083,GAL
207467_x_at,CAST,831,CAST
207468_s_at,SFRP5,6425,SFRP5
207469_s_at,PIR,8544,PIR
207470_at,---,---,207470_at
207471_at,---,---,RARS2
207472_at,RARS2,57038,RARS2
207473_at,MLN,4295,MLN
207474_at,SNRK,54861,SNRK
207475_at,FABP2,2169,FABP2
207476_at,LOC100507630,100507630,LOC100507630
207477_at,---,---,PRO2958
207478_at,PRO2958,100128329,PRO2958
207479_at,---,---,207479_at
207480_s_at,MEIS2,4212,MEIS2
207481_at,---,---,207481_at
207482_at,TP53TG5,27296,TP53TG5
207483_s_at,CAND1,55832,CAND1
207484_s_at,EHMT2,10919,EHMT2
207485_x_at,BTN3A1,11119,BTN3A1
207486_x_at,CHN2,1124,CHN2
207487_at,---,---,207487_at
207488_at,---,---,207488_at
207489_at,RPS2P45 /// RPS2P45,---,RPS2P45
207490_at,TUBA4B,80086,TUBA4B
207491_at,MOGAT2,80168,MOGAT2
207492_at,NGLY1,55768,NGLY1
207493_x_at,SSX2 /// SSX2B,6757 /// 727837,SSX2B
207494_s_at,ZNF76,7629,ZNF76
207495_at,RAB28,9364,RAB28
207496_at,MS4A2,2206,MS4A2
207497_s_at,MS4A2,2206,MS4A2
207498_s_at,CYP2D6,1565,LOC101929829
207499_x_at,UNC45A,55898,UNC45A
207500_at,CASP5,838,CASP5
207501_s_at,FGF12,2257,FGF12
207502_at,GUCA2B,2981,GUCA2B
207503_at,TCP10,6953,TCP10
207504_at,CA7,766,CA7
207505_at,PRKG2,5593,PRKG2
207506_at,GLRX3,10539,GLRX3
207507_s_at,ATP5G3,518,ATP5G3
207508_at,ATP5G3,518,ATP5G3
207509_s_at,LAIR2,3904,LAIR2
207510_at,BDKRB1,623,BDKRB1
207511_s_at,CNPPD1,27013,CNPPD1
207513_s_at,ZNF189,7743,ZNF189
207514_s_at,GNAT1,2779,GNAT1
207515_s_at,POLR1C,9533,POLR1C
207516_at,CHRNB4,1143,CHRNB4
207517_at,LAMC2,3918,LAMC2
207518_at,DGKE,8526,DGKE
207519_at,SLC6A4,6532,SLC6A4
207520_at,TROVE2,6738,TROVE2
207521_s_at,ATP2A3,489,ATP2A3
207522_s_at,ATP2A3,489,ATP2A3
207523_at,C6orf10,10665,C6orf10
207524_at,ST7 /// ST7-OT3,7982 /// 93655,MIR6132
207525_s_at,GIPC1,10755,GIPC1
207526_s_at,IL1RL1,9173,IL1RL1
207527_at,KCNJ9,3765,KCNJ9
207528_s_at,SLC7A11,23657,SLC7A11
207529_at,DEFA5,1670,DEFA5
207530_s_at,CDKN2B,1030,CDKN2B
207531_at,CRYGC,1420,CRYGC
207532_at,CRYGD,1421,CRYGD
207533_at,CCL1,6346,CCL1
207534_at,MAGEB1,4112,MAGEB1
207535_s_at,NFKB2,4791,NFKB2
207536_s_at,TNFRSF9,3604,TNFRSF9
207537_at,PFKFB1,5207,PFKFB1
207538_at,IL4,3565,IL4
207539_s_at,IL4,3565,IL4
207540_s_at,SYK,6850,SYK
207541_s_at,EXOSC10,5394,EXOSC10
207542_s_at,AQP1,358,AQP1
207543_s_at,P4HA1,5033,P4HA1
207544_s_at,ADH6,130,ADH6
207545_s_at,NUMB,8650,LOC101930388
207546_at,ATP4B,496,ATP4B
207547_s_at,FAM107A /// LOC101059937,11170 /// 101059937,FAM107A
207548_at,GRM7 /// LOC100996542,2917 /// 100996542,LOC100996542
207549_x_at,CD46,4179,CD46
207550_at,MPL,4352,MPL
207551_s_at,MSL3,10943,MSL3
207552_at,ATP5G2,517,ATP5G2
207553_at,OPRK1,4986,OPRK1
207554_x_at,TBXA2R,6915,TBXA2R
207555_s_at,TBXA2R,6915,TBXA2R
207556_s_at,DGKZ,8525,DGKZ
207557_s_at,RYR2,6262,RYR2
207558_s_at,PITX2,5308,PITX2
207559_s_at,ZMYM3,9203,ZMYM3
207560_at,SLC28A1,9154,SLC28A1
207561_s_at,ABCB8 /// ASIC3,9311 /// 11194,ABCB8
207562_at,DGKQ,1609,DGKQ
207563_s_at,OGT,8473,OGT
207564_x_at,OGT,8473,OGT
207565_s_at,MR1,3140,MR1
207566_at,MR1,3140,MR1
207567_at,SLC13A2,9058,SLC13A2
207568_at,CHRNA6,8973,CHRNA6
207569_at,ROS1,6098,ROS1
207570_at,SHOX,6473,SHOX
207571_x_at,THEMIS2,9473,THEMIS2
207572_at,EFCAB2,84288,EFCAB2
207573_x_at,ATP5L,10632,ATP5L
207574_s_at,GADD45B,4616,GADD45B
207575_at,GOLGA6A,342096,GOLGA6A
207576_x_at,OXT,5020,OXT
207577_at,HTR4,3360,HTR4
207578_s_at,HTR4,3360,HTR4
207579_at,MAGEB3,4114,MAGEB3
207580_at,MAGEB4,4115,MAGEB4
207581_s_at,MAGEB4,4115,MAGEB4
207582_at,PIN1P1,5301,PIN1P1
207583_at,ABCD2,225,ABCD2
207584_at,LPA,4018,LPA
207585_s_at,RPL36AL,6166,RPL36AL
207586_at,SHH,6469,SHH
207587_at,CRYGA,1418,CRYGA
207588_at,---,---,207588_at
207589_at,ADRA1B,147,ADRA1B
207590_s_at,CENPI,2491,CENPI
207591_s_at,ARID1A,8289,ARID1A
207592_s_at,HCN2,610,HCN2
207593_at,ABCG4,64137,ABCG4
207594_s_at,SYNJ1,8867,SYNJ1
207595_s_at,BMP1,649,BMP1
207596_at,SLCO4C1,353189,SLCO4C1
207597_at,ADAM18,8749,ADAM18
207598_x_at,XRCC2,7516,XRCC2
207599_at,MMP20,9313,MMP20
207600_at,KCNC3,3748,KCNC3
207601_at,SULT1B1,27284,SULT1B1
207602_at,TMPRSS11D,9407,TMPRSS11D
207603_at,SLC4A7,9497,SLC4A7
207604_s_at,SLC4A7,9497,SLC4A7
207605_x_at,ZNF117,51351,ZNF117
207606_s_at,ARHGAP12,94134,ARHGAP12
207607_at,ASCL2,430,ASCL2
207608_x_at,CYP1A2,1544,CYP1A2
207609_s_at,CYP1A2,1544,CYP1A2
207610_s_at,EMR2,30817,ADGRE2
207611_at,HIST1H2BL,8340,HIST1H2BL
207612_at,WNT8B,7479,WNT8B
207613_s_at,CAMK2A,815,CAMK2A
207614_s_at,CUL1,8454,CUL1
207615_s_at,C16orf3,750,GAS8-AS1
207616_s_at,TANK,10010,TANK
207617_at,DDX3X,1654,DDX3X
207618_s_at,BCS1L,617,BCS1L
207619_at,HCRTR1,3061,HCRTR1
207620_s_at,CASK,8573,CASK
207621_s_at,PEMT,10400,PEMT
207622_s_at,ABCF2,10061,ABCF2
207623_at,ABCF2,10061,ABCF2
207624_s_at,RPGR,6103,RPGR
207625_s_at,CBFA2T2,9139,CBFA2T2
207626_s_at,SLC7A2,6542,SLC7A2
207627_s_at,TFCP2,7024,TFCP2
207628_s_at,WBSCR22,114049,WBSCR22
207629_s_at,ARHGEF2,9181,ARHGEF2
207630_s_at,CREM,1390,CREM
207631_at,NBR2,10230,NBR2
207632_at,MUSK,4593,MUSK
207633_s_at,MUSK,4593,MUSK
207634_at,PDCD1,5133,PDCD1
207635_s_at,KCNH1,3756,KCNH1
207636_at,SERPINI2,5276,SERPINI2
207637_at,WSCD2,9671,WSCD2
207638_at,TMPRSS15,5651,TMPRSS15
207639_at,FZD9,8326,FZD9
207640_x_at,NTN3,4917,NTN3
207641_at,TNFRSF13B,23495,TNFRSF13B
207642_at,HCRT,3060,HCRT
207643_s_at,TNFRSF1A,7132,TNFRSF1A
207644_at,FOXH1,8928,FOXH1
207645_s_at,CHD1L /// LOC101060601,9557 /// 101060601,CHD1L
207646_s_at,CDY1 /// CDY1B /// CDY2A /// CDY2B,9085 /// 9426 /// 203611 /// 253175,CDY1B
207647_at,CDY1,9085,CDY1
207648_at,DRP2,1821,DRP2
207649_at,KRT37,8688,KRT37
207650_x_at,PTGER1,5731,PTGER1
207651_at,GPR171,29909,GPR171
207652_s_at,CMKLR1,1240,CMKLR1
207653_at,FOXD2,2306,FOXD2
207654_x_at,DR1,1810,DR1
207655_s_at,BLNK,29760,BLNK
207656_s_at,ACOX1,51,ACOX1
207657_x_at,TNPO1,3842,TNPO1
207658_s_at,FOXG1,2290,FOXG1
207659_s_at,MOBP,4336,MOBP
207660_at,DMD,1756,DMD
207661_s_at,SH3PXD2A,9644,SH3PXD2A
207662_at,TBX1,6899,TBX1
207663_x_at,GAGE3,2575,GAGE3
207664_at,ADAM2,2515,ADAM2
207665_at,ADAM21,8747,ADAM21
207666_x_at,SSX3,10214,SSX3
207667_s_at,LOC100996792 /// MAP2K3,5606 /// 100996792,LOC100996792
207668_x_at,PDIA6,10130,PDIA6
207669_at,KRT83,3889,KRT83
207670_at,KRT85,3891,KRT85
207671_s_at,BEST1,7439,BEST1
207672_at,RFX4,5992,RFX4
207673_at,NPHS1,4868,NPHS1
207674_at,FCAR,2204,FCAR
207675_x_at,ARTN,9048,ARTN
207676_at,ONECUT2,9480,ONECUT2
207677_s_at,NCF4,4689,NCF4
207678_s_at,SOX30,11063,SOX30
207679_at,PAX3,5077,PAX3
207680_x_at,PAX3,5077,PAX3
207681_at,CXCR3,2833,CXCR3
207682_s_at,KIF25,3834,KIF25
207683_at,FOXN1,8456,FOXN1
207684_at,TBX6,6911,TBX6
207685_at,CRYBB3,1417,CRYBB3
207686_s_at,CASP8,841,CASP8
207687_at,INHBC,3626,INHBC
207688_s_at,---,---,INHBC
207689_at,TBX10,347853,TBX10
207690_at,ALX3,257,ALX3
207691_x_at,ENTPD1,953,ENTPD1
207692_s_at,ACAN,176,ACAN
207693_at,CACNB4,785,CACNB4
207694_at,POU3F4,5456,POU3F4
207695_s_at,IGSF1,3547,IGSF1
207696_at,FUT9,10690,FUT9
207697_x_at,LILRB2,10288,LILRB2
207698_at,C6orf123,26238,LINC01558
207699_at,ZFHX2,85446,ZFHX2
207700_s_at,NCOA3,8202,NCOA3
207701_at,C22orf24,25775,C22orf24
207702_s_at,MAGI2,9863,MAGI2
207703_at,NLGN4Y,22829,NLGN4Y
207704_s_at,GAS7,8522,GAS7
207705_s_at,NINL,22981,NINL
207706_at,USH2A,7399,USH2A
207707_s_at,SEC13,6396,SEC13
207708_at,ALOXE3,59344,ALOXE3
207709_at,PRKAA2,5563,PRKAA2
207710_at,LCE2B,26239,LCE2B
207711_at,SOGA1,140710,SOGA1
207712_at,BAGE,574,BAGE
207713_s_at,RBCK1,10616,RBCK1
207714_s_at,SERPINH1,871,SERPINH1
207715_at,CRYGB,1419,CRYGB
207716_at,KRT38,8687,KRT38
207717_s_at,PKP2,5318,PKP2
207718_x_at,CYP2A7,1549,CYP2A7
207719_x_at,CEP170,9859,CEP170P1
207720_at,LOR,4014,LOR
207721_x_at,HINT1,3094,HINT1
207722_s_at,BTBD2,55643,BTBD2
207723_s_at,KLRC3,3823,KLRC3
207724_s_at,SPAST,6683,SPAST
207725_at,POU4F2,5458,POU4F2
207726_at,ESRRB,2103,ESRRB
207727_s_at,MUTYH,4595,MUTYH
207728_at,ATF7IP,55729,ATF7IP
207729_at,CDH9,1007,CDH9
207730_x_at,---,---,207730_x_at
207731_at,---,---,207731_at
207732_s_at,DLG3,1741,DLG3
207733_x_at,PSG9,5678,PSG9
207734_at,LAX1,54900,LAX1
207735_at,RNF125,54941,RNF125
207736_s_at,TNP2,7142,TNP2
207737_at,---,---,207737_at
207738_s_at,NCKAP1,10787,NCKAP1
